#支付流水记录
#起始日期：[2026年07月11日 00:00:00]    终止日期：[2026年07月11日 23:59:59]
#---------------------------------------------支付流水明细-------------------------------------------
交易时间,app_id,支付ID,商户订单号,交易类型,交易金额,手续费金额,货币种类,交易状态,第三方订单号,支付完成时间,支付模式,商品描述,花呗分期期数,入账时间,冻结状态,订单描述,微信/支付宝订单号
20260711183615,APP_DEMO_00001,ADAPAYID_DEMO_00113,ORDNO_DEMO_00215,微信小程序支付,22.77,0.00,cny,S,THIRDPAY_DEMO_00054,20260711183620,延时,棒棒鸡+脆皮大鸡腿+大鸡柳250g等,,20260711,,,WXP_DEMO_00062
20260711183638,APP_DEMO_00001,ADAPAYID_DEMO_00114,ORDNO_DEMO_00216,微信小程序支付,22.77,0.00,cny,S,THIRDPAY_DEMO_00088,20260711183645,延时,棒棒鸡+脆皮大鸡腿+大鸡柳250g等,,20260711,,,WXP_DEMO_00002
20260711183728,APP_DEMO_00001,ADAPAYID_DEMO_00115,ORDNO_DEMO_00217,微信小程序支付,14.80,0.00,cny,S,THIRDPAY_DEMO_00055,20260711183734,延时,招牌鸡肉炒米粉+送酥边煎蛋等,,20260711,,,WXP_DEMO_00043
20260711184325,APP_DEMO_00001,ADAPAYID_DEMO_00116,ORDNO_DEMO_00218,微信小程序支付,21.79,0.00,cny,S,THIRDPAY_DEMO_00024,20260711184333,延时,棒棒鸡+脆皮大鸡腿+大鸡柳250g等,,20260711,,,WXP_DEMO_00084
20260711184332,APP_DEMO_00001,ADAPAYID_DEMO_00117,ORDNO_DEMO_00219,微信小程序支付,40.76,0.00,cny,S,THIRDPAY_DEMO_00056,20260711184337,延时,半只手撕烤鸭+米饭,,20260711,,,WXP_DEMO_00049
20260711185857,APP_DEMO_00001,ADAPAYID_DEMO_00118,ORDNO_DEMO_00220,微信小程序支付,16.90,0.00,cny,S,THIRDPAY_DEMO_00089,20260711185903,延时,半只茶油Plus铁板烤鸭+米饭,,20260711,,,WXP_DEMO_00060
20260711171454,APP_DEMO_00002,ADAPAYID_DEMO_00083,ORDNO_DEMO_00004,微信小程序支付,0.03,0.00,cny,F,THIRDPAY_DEMO_00046,,延时,洗漱台,,,,,
20260711171458,APP_DEMO_00002,ADAPAYID_DEMO_00084,ORDNO_DEMO_00005,微信小程序支付,0.03,0.00,cny,F,THIRDPAY_DEMO_00047,,延时,洗漱台,,,,,
20260711192002,APP_DEMO_00001,ADAPAYID_DEMO_00119,ORDNO_DEMO_00221,微信小程序支付,25.32,0.00,cny,S,THIRDPAY_DEMO_00025,20260711192010,延时,土豆粉等,,20260711,,,WXP_DEMO_00105
20260711192105,APP_DEMO_00001,ADAPAYID_DEMO_00120,ORDNO_DEMO_00222,微信小程序支付,19.84,0.00,cny,S,THIRDPAY_DEMO_00090,20260711192110,延时,【水煮肉片砂锅煲】+5种配菜+米饭等,,20260711,,,WXP_DEMO_00087
20260711192644,APP_DEMO_00001,ADAPAYID_DEMO_00121,ORDNO_DEMO_00223,微信小程序支付,16.80,0.00,cny,S,THIRDPAY_DEMO_00026,20260711192651,延时,招牌棒棒鸡1支+劲脆大鸡排250g等,,20260711,,,WXP_DEMO_00003
20260711193345,APP_DEMO_00001,ADAPAYID_DEMO_00122,ORDNO_DEMO_00224,微信小程序支付,5.20,0.00,cny,S,THIRDPAY_DEMO_00120,20260711193351,延时,文火慢炖白粥等,,20260711,,,WXP_DEMO_00017
20260711193801,APP_DEMO_00001,ADAPAYID_DEMO_00123,ORDNO_DEMO_00225,微信小程序支付,7.20,0.00,cny,S,THIRDPAY_DEMO_00057,20260711193820,延时,鲜肉小馄饨15个等,,20260711,,,WXP_DEMO_00071
20260711195209,APP_DEMO_00001,ADAPAYID_DEMO_00124,ORDNO_DEMO_00226,微信小程序支付,21.40,0.00,cny,S,THIRDPAY_DEMO_00058,20260711195215,延时,卜辣椒鸡胗（煲仔饭）等,,20260711,,,WXP_DEMO_00012
20260711181407,APP_DEMO_00001,ADAPAYID_DEMO_00104,ORDNO_DEMO_00206,支付宝正扫,28.88,0.00,cny,F,02242607116564688412854,,延时,整只烤鸭撕开,,,,,
20260711213450,APP_DEMO_00002,ADAPAYID_DEMO_00125,ORDNO_DEMO_00009,微信小程序支付,0.03,0.00,cny,S,THIRDPAY_DEMO_00027,20260711213501,延时,洗漱台,,20260711,,,WXP_DEMO_00077
20260711232440,APP_DEMO_00002,ADAPAYID_DEMO_00127,ORDNO_DEMO_00010,微信小程序支付,0.01,0.00,cny,S,THIRDPAY_DEMO_00028,20260711232457,延时,洗漱台,,20260711,,,WXP_DEMO_00015
#---------------------------------------------支付流水明细-------------------------------------------
#合计：122笔，共1916.87元
#导出时间：[2026年07月12日 02:06:34]
