#分账流水记录
#起始日期：[2026年07月11日 00:00:00]    终止日期：[2026年07月11日 23:59:59]
#---------------------------------------------分账流水明细-------------------------------------------
支付对象id,订单号,交易金额,分账金额,交易完成时间,支付模式,支付确认对象id,分账用户,手续费承担方,手续费金额,原订单号
ADAPAYID_DEMO_00082,ORDNO_DEMO_00077,22.98,16.94,2026-07-11 23:45:21,延时,ADAPAYID_DEMO_00192,MEMBER_UUID_DEMO_0017,N,0.00,ORDNO_DEMO_00188,
ADAPAYID_DEMO_00086,ORDNO_DEMO_00078,15.96,4.77,2026-07-11 23:45:21,延时,ADAPAYID_DEMO_00193,0,Y,0.04,ORDNO_DEMO_00189,
ADAPAYID_DEMO_00086,ORDNO_DEMO_00078,15.96,11.19,2026-07-11 23:45:21,延时,ADAPAYID_DEMO_00193,MEMBER_UUID_DEMO_0018,N,0.00,ORDNO_DEMO_00189,
ADAPAYID_DEMO_00088,ORDNO_DEMO_00079,12.80,4.20,2026-07-11 23:45:22,延时,ADAPAYID_DEMO_00194,0,Y,0.03,ORDNO_DEMO_00190,
ADAPAYID_DEMO_00088,ORDNO_DEMO_00079,12.80,8.60,2026-07-11 23:45:22,延时,ADAPAYID_DEMO_00194,MEMBER_UUID_DEMO_0003,N,0.00,ORDNO_DEMO_00190,
ADAPAYID_DEMO_00089,ORDNO_DEMO_00080,13.60,4.35,2026-07-11 23:45:22,延时,ADAPAYID_DEMO_00195,0,Y,0.03,ORDNO_DEMO_00191,
ADAPAYID_DEMO_00089,ORDNO_DEMO_00080,13.60,9.25,2026-07-11 23:45:22,延时,ADAPAYID_DEMO_00195,MEMBER_UUID_DEMO_0003,N,0.00,ORDNO_DEMO_00191,
ADAPAYID_DEMO_00090,ORDNO_DEMO_00081,22.68,5.98,2026-07-11 23:45:22,延时,ADAPAYID_DEMO_00196,0,Y,0.06,ORDNO_DEMO_00192,
ADAPAYID_DEMO_00090,ORDNO_DEMO_00081,22.68,16.70,2026-07-11 23:45:22,延时,ADAPAYID_DEMO_00196,MEMBER_UUID_DEMO_0013,N,0.00,ORDNO_DEMO_00192,
ADAPAYID_DEMO_00091,ORDNO_DEMO_00082,15.28,4.65,2026-07-11 23:45:23,延时,ADAPAYID_DEMO_00197,0,Y,0.04,ORDNO_DEMO_00193,
ADAPAYID_DEMO_00091,ORDNO_DEMO_00082,15.28,10.63,2026-07-11 23:45:23,延时,ADAPAYID_DEMO_00197,MEMBER_UUID_DEMO_0016,N,0.00,ORDNO_DEMO_00193,
ADAPAYID_DEMO_00092,ORDNO_DEMO_00083,14.90,4.58,2026-07-11 23:45:23,延时,ADAPAYID_DEMO_00198,0,Y,0.04,ORDNO_DEMO_00194,
ADAPAYID_DEMO_00092,ORDNO_DEMO_00083,14.90,10.32,2026-07-11 23:45:23,延时,ADAPAYID_DEMO_00198,MEMBER_UUID_DEMO_0008,N,0.00,ORDNO_DEMO_00194,
ADAPAYID_DEMO_00093,ORDNO_DEMO_00084,11.80,4.02,2026-07-11 23:45:23,延时,ADAPAYID_DEMO_00199,0,Y,0.03,ORDNO_DEMO_00195,
ADAPAYID_DEMO_00093,ORDNO_DEMO_00084,11.80,7.78,2026-07-11 23:45:23,延时,ADAPAYID_DEMO_00199,MEMBER_UUID_DEMO_0025,N,0.00,ORDNO_DEMO_00195,
ADAPAYID_DEMO_00094,ORDNO_DEMO_00085,17.00,4.96,2026-07-11 23:45:24,延时,ADAPAYID_DEMO_00200,0,Y,0.04,ORDNO_DEMO_00196,
ADAPAYID_DEMO_00094,ORDNO_DEMO_00085,17.00,12.04,2026-07-11 23:45:24,延时,ADAPAYID_DEMO_00200,MEMBER_UUID_DEMO_0014,N,0.00,ORDNO_DEMO_00196,
ADAPAYID_DEMO_00095,ORDNO_DEMO_00086,17.80,5.10,2026-07-11 23:45:24,延时,ADAPAYID_DEMO_00201,0,Y,0.04,ORDNO_DEMO_00197,
ADAPAYID_DEMO_00095,ORDNO_DEMO_00086,17.80,12.70,2026-07-11 23:45:24,延时,ADAPAYID_DEMO_00201,MEMBER_UUID_DEMO_0015,N,0.00,ORDNO_DEMO_00197,
ADAPAYID_DEMO_00096,ORDNO_DEMO_00087,12.16,4.09,2026-07-11 23:45:24,延时,ADAPAYID_DEMO_00202,0,Y,0.03,ORDNO_DEMO_00198,
ADAPAYID_DEMO_00096,ORDNO_DEMO_00087,12.16,8.07,2026-07-11 23:45:24,延时,ADAPAYID_DEMO_00202,MEMBER_UUID_DEMO_0018,N,0.00,ORDNO_DEMO_00198,
ADAPAYID_DEMO_00097,ORDNO_DEMO_00088,10.80,3.84,2026-07-11 23:45:25,延时,ADAPAYID_DEMO_00203,0,Y,0.03,ORDNO_DEMO_00199,
ADAPAYID_DEMO_00097,ORDNO_DEMO_00088,10.80,6.96,2026-07-11 23:45:25,延时,ADAPAYID_DEMO_00203,MEMBER_UUID_DEMO_0027,N,0.00,ORDNO_DEMO_00199,
ADAPAYID_DEMO_00098,ORDNO_DEMO_00089,17.00,4.96,2026-07-11 23:45:25,延时,ADAPAYID_DEMO_00204,0,Y,0.04,ORDNO_DEMO_00200,
ADAPAYID_DEMO_00098,ORDNO_DEMO_00089,17.00,12.04,2026-07-11 23:45:25,延时,ADAPAYID_DEMO_00204,MEMBER_UUID_DEMO_0014,N,0.00,ORDNO_DEMO_00200,
ADAPAYID_DEMO_00099,ORDNO_DEMO_00090,14.90,4.58,2026-07-11 23:45:25,延时,ADAPAYID_DEMO_00205,0,Y,0.04,ORDNO_DEMO_00201,
ADAPAYID_DEMO_00099,ORDNO_DEMO_00090,14.90,10.32,2026-07-11 23:45:25,延时,ADAPAYID_DEMO_00205,MEMBER_UUID_DEMO_0008,N,0.00,ORDNO_DEMO_00201,
ADAPAYID_DEMO_00100,ORDNO_DEMO_00091,15.56,4.70,2026-07-11 23:45:26,延时,ADAPAYID_DEMO_00206,0,Y,0.04,ORDNO_DEMO_00202,
ADAPAYID_DEMO_00100,ORDNO_DEMO_00091,15.56,10.86,2026-07-11 23:45:26,延时,ADAPAYID_DEMO_00206,MEMBER_UUID_DEMO_0012,N,0.00,ORDNO_DEMO_00202,
ADAPAYID_DEMO_00101,ORDNO_DEMO_00092,14.80,4.56,2026-07-11 23:45:26,延时,ADAPAYID_DEMO_00207,0,Y,0.04,ORDNO_DEMO_00203,
ADAPAYID_DEMO_00101,ORDNO_DEMO_00092,14.80,10.24,2026-07-11 23:45:26,延时,ADAPAYID_DEMO_00207,MEMBER_UUID_DEMO_0002,N,0.00,ORDNO_DEMO_00203,
ADAPAYID_DEMO_00102,ORDNO_DEMO_00093,17.90,5.12,2026-07-11 23:45:26,延时,ADAPAYID_DEMO_00208,0,Y,0.04,ORDNO_DEMO_00204,
ADAPAYID_DEMO_00102,ORDNO_DEMO_00093,17.90,12.78,2026-07-11 23:45:26,延时,ADAPAYID_DEMO_00208,MEMBER_UUID_DEMO_0009,N,0.00,ORDNO_DEMO_00204,
ADAPAYID_DEMO_00103,ORDNO_DEMO_00094,14.80,4.56,2026-07-11 23:45:27,延时,ADAPAYID_DEMO_00209,0,Y,0.04,ORDNO_DEMO_00205,
ADAPAYID_DEMO_00103,ORDNO_DEMO_00094,14.80,10.24,2026-07-11 23:45:27,延时,ADAPAYID_DEMO_00209,MEMBER_UUID_DEMO_0020,N,0.00,ORDNO_DEMO_00205,
ADAPAYID_DEMO_00105,ORDNO_DEMO_00095,28.88,7.10,2026-07-11 23:45:27,延时,ADAPAYID_DEMO_00210,0,Y,0.07,ORDNO_DEMO_00207,
ADAPAYID_DEMO_00105,ORDNO_DEMO_00095,28.88,21.78,2026-07-11 23:45:27,延时,ADAPAYID_DEMO_00210,MEMBER_UUID_DEMO_0023,N,0.00,ORDNO_DEMO_00207,
ADAPAYID_DEMO_00106,ORDNO_DEMO_00096,14.90,4.58,2026-07-11 23:45:27,延时,ADAPAYID_DEMO_00211,0,Y,0.04,ORDNO_DEMO_00208,
ADAPAYID_DEMO_00106,ORDNO_DEMO_00096,14.90,10.32,2026-07-11 23:45:27,延时,ADAPAYID_DEMO_00211,MEMBER_UUID_DEMO_0008,N,0.00,ORDNO_DEMO_00208,
ADAPAYID_DEMO_00107,ORDNO_DEMO_00097,12.80,4.20,2026-07-11 23:45:28,延时,ADAPAYID_DEMO_00212,0,Y,0.03,ORDNO_DEMO_00209,
ADAPAYID_DEMO_00107,ORDNO_DEMO_00097,12.80,8.60,2026-07-11 23:45:28,延时,ADAPAYID_DEMO_00212,MEMBER_UUID_DEMO_0020,N,0.00,ORDNO_DEMO_00209,
ADAPAYID_DEMO_00108,ORDNO_DEMO_00098,13.80,4.38,2026-07-11 23:45:28,延时,ADAPAYID_DEMO_00213,0,Y,0.03,ORDNO_DEMO_00210,
ADAPAYID_DEMO_00108,ORDNO_DEMO_00098,13.80,9.42,2026-07-11 23:45:28,延时,ADAPAYID_DEMO_00213,MEMBER_UUID_DEMO_0024,N,0.00,ORDNO_DEMO_00210,
ADAPAYID_DEMO_00109,ORDNO_DEMO_00099,19.90,5.48,2026-07-11 23:45:28,延时,ADAPAYID_DEMO_00214,0,Y,0.05,ORDNO_DEMO_00211,
ADAPAYID_DEMO_00109,ORDNO_DEMO_00099,19.90,14.42,2026-07-11 23:45:28,延时,ADAPAYID_DEMO_00214,MEMBER_UUID_DEMO_0008,N,0.00,ORDNO_DEMO_00211,
ADAPAYID_DEMO_00110,ORDNO_DEMO_00100,22.98,4.40,2026-07-11 23:45:28,延时,ADAPAYID_DEMO_00215,0,Y,0.06,ORDNO_DEMO_00212,
ADAPAYID_DEMO_00110,ORDNO_DEMO_00100,22.98,18.58,2026-07-11 23:45:28,延时,ADAPAYID_DEMO_00215,MEMBER_UUID_DEMO_0001,N,0.00,ORDNO_DEMO_00212,
ADAPAYID_DEMO_00111,ORDNO_DEMO_00101,16.88,6.17,2026-07-11 23:45:29,延时,ADAPAYID_DEMO_00216,0,Y,0.04,ORDNO_DEMO_00213,
ADAPAYID_DEMO_00111,ORDNO_DEMO_00101,16.88,10.71,2026-07-11 23:45:29,延时,ADAPAYID_DEMO_00216,MEMBER_UUID_DEMO_0011,N,0.00,ORDNO_DEMO_00213,
ADAPAYID_DEMO_00112,ORDNO_DEMO_00102,15.16,4.63,2026-07-11 23:45:29,延时,ADAPAYID_DEMO_00217,0,Y,0.04,ORDNO_DEMO_00214,
ADAPAYID_DEMO_00112,ORDNO_DEMO_00102,15.16,10.53,2026-07-11 23:45:29,延时,ADAPAYID_DEMO_00217,MEMBER_UUID_DEMO_0018,N,0.00,ORDNO_DEMO_00214,
ADAPAYID_DEMO_00113,ORDNO_DEMO_00103,22.77,6.00,2026-07-11 23:45:29,延时,ADAPAYID_DEMO_00218,0,Y,0.06,ORDNO_DEMO_00215,
ADAPAYID_DEMO_00113,ORDNO_DEMO_00103,22.77,16.77,2026-07-11 23:45:29,延时,ADAPAYID_DEMO_00218,MEMBER_UUID_DEMO_0006,N,0.00,ORDNO_DEMO_00215,
ADAPAYID_DEMO_00114,ORDNO_DEMO_00104,22.77,6.00,2026-07-11 23:45:30,延时,ADAPAYID_DEMO_00219,0,Y,0.06,ORDNO_DEMO_00216,
ADAPAYID_DEMO_00114,ORDNO_DEMO_00104,22.77,16.77,2026-07-11 23:45:30,延时,ADAPAYID_DEMO_00219,MEMBER_UUID_DEMO_0006,N,0.00,ORDNO_DEMO_00216,
ADAPAYID_DEMO_00115,ORDNO_DEMO_00105,14.80,4.56,2026-07-11 23:45:30,延时,ADAPAYID_DEMO_00220,0,Y,0.04,ORDNO_DEMO_00217,
ADAPAYID_DEMO_00115,ORDNO_DEMO_00105,14.80,10.24,2026-07-11 23:45:30,延时,ADAPAYID_DEMO_00220,MEMBER_UUID_DEMO_0026,N,0.00,ORDNO_DEMO_00217,
ADAPAYID_DEMO_00116,ORDNO_DEMO_00106,21.79,5.82,2026-07-11 23:45:30,延时,ADAPAYID_DEMO_00221,0,Y,0.05,ORDNO_DEMO_00218,
ADAPAYID_DEMO_00116,ORDNO_DEMO_00106,21.79,15.97,2026-07-11 23:45:30,延时,ADAPAYID_DEMO_00221,MEMBER_UUID_DEMO_0006,N,0.00,ORDNO_DEMO_00218,
ADAPAYID_DEMO_00117,ORDNO_DEMO_00107,40.76,10.88,2026-07-11 23:45:31,延时,ADAPAYID_DEMO_00222,0,Y,0.10,ORDNO_DEMO_00219,
ADAPAYID_DEMO_00117,ORDNO_DEMO_00107,40.76,29.88,2026-07-11 23:45:31,延时,ADAPAYID_DEMO_00222,MEMBER_UUID_DEMO_0023,N,0.00,ORDNO_DEMO_00219,
ADAPAYID_DEMO_00118,ORDNO_DEMO_00108,16.90,4.94,2026-07-11 23:45:31,延时,ADAPAYID_DEMO_00223,0,Y,0.04,ORDNO_DEMO_00220,
ADAPAYID_DEMO_00118,ORDNO_DEMO_00108,16.90,11.96,2026-07-11 23:45:31,延时,ADAPAYID_DEMO_00223,MEMBER_UUID_DEMO_0008,N,0.00,ORDNO_DEMO_00220,
ADAPAYID_DEMO_00119,ORDNO_DEMO_00109,25.32,6.46,2026-07-11 23:45:31,延时,ADAPAYID_DEMO_00224,0,Y,0.06,ORDNO_DEMO_00221,
ADAPAYID_DEMO_00119,ORDNO_DEMO_00109,25.32,18.86,2026-07-11 23:45:31,延时,ADAPAYID_DEMO_00224,MEMBER_UUID_DEMO_0005,N,0.00,ORDNO_DEMO_00221,
ADAPAYID_DEMO_00120,ORDNO_DEMO_00110,19.84,5.47,2026-07-11 23:45:32,延时,ADAPAYID_DEMO_00225,0,Y,0.05,ORDNO_DEMO_00222,
ADAPAYID_DEMO_00120,ORDNO_DEMO_00110,19.84,14.37,2026-07-11 23:45:32,延时,ADAPAYID_DEMO_00225,MEMBER_UUID_DEMO_0019,N,0.00,ORDNO_DEMO_00222,
ADAPAYID_DEMO_00121,ORDNO_DEMO_00111,16.80,4.92,2026-07-11 23:45:32,延时,ADAPAYID_DEMO_00226,0,Y,0.04,ORDNO_DEMO_00223,
ADAPAYID_DEMO_00121,ORDNO_DEMO_00111,16.80,11.88,2026-07-11 23:45:32,延时,ADAPAYID_DEMO_00226,MEMBER_UUID_DEMO_0006,N,0.00,ORDNO_DEMO_00223,
ADAPAYID_DEMO_00124,ORDNO_DEMO_00112,21.40,5.75,2026-07-11 23:45:32,延时,ADAPAYID_DEMO_00227,0,Y,0.05,ORDNO_DEMO_00226,
ADAPAYID_DEMO_00124,ORDNO_DEMO_00112,21.40,15.65,2026-07-11 23:45:32,延时,ADAPAYID_DEMO_00227,MEMBER_UUID_DEMO_0002,N,0.00,ORDNO_DEMO_00226,
#---------------------------------------------分账流水明细-------------------------------------------
#合计：206笔，共4.30元
#导出时间：[2026年07月12日 02:06:34]
